Library, Design Unit, compile Time, Peak Mem Usage
work, Entity: EHXPLLF Architecture: syn_black_box, 0h:00m:00s,     74 MB
work, Entity: PLL_IP Architecture: structure, 0h:00m:00s,     74 MB
work, Entity: SDI_IP Architecture: syn_black_box, 0h:00m:00s,     74 MB
work, Entity: SDI_IP_top Architecture: arch, 0h:00m:00s,     74 MB
work, Entity: VLO Architecture: syn_black_box, 0h:00m:00s,     74 MB
work, Entity: VHI Architecture: syn_black_box, 0h:00m:00s,     74 MB
work, Entity: PCS_IPrx_reset_sm Architecture: rx_reset_sm_arch, 0h:00m:00s,     74 MB
work, Entity: PCSD Architecture: syn_black_box, 0h:00m:00s,     74 MB
work, Entity: PCS_IP Architecture: pcs_ip_arch, 0h:00m:00s,     74 MB
work, Entity: TOP_LEVEL Architecture: arc, 0h:00m:00s,     74 MB
